Location,Address,Estimated Price,Style of Home,Developer,Units,Construction,Storeys,Features,Features Incl,Views,Nearby Parks,Nearby Amenities,Total Parking,Storage,Fine Print
Port & Mill In West Coquitlam,Como Lake & Dogwood,,Condo,StreetSide Developments,175,Woodframe,2 X 6-storey,,"1-, 2- & 3-bedroom, ranging from 515 - 1,054 sf",,"Como Lake Park, Naheeno Park, Mountain View Park","Clarke Road restaurants, shops, services; Lougheed Town Centre shopping & conveniences; Simon Fraser University",2-level underground parkade,,
"Portside In Downtown, New Westminster",175 Duncan St,,Townhouse & Duplex,Anthem Properties,170,Woodframe,36 X 3-storey,,"Mix of 2, 3 & 4 bedroom homes - with a choice of 8 different layouts",Fraser River or downtown New Westminster,"5 private parks - Central Commons, The Green, River Commons, The Yard, The Platform - pathways + bike routes","New extension of Queensborough Perimeter Trail along the community’s riverfront; Port Royal Park & Community Garden; downtown New West restaurants, activities & entertainment options; Queensborough Landing shops, restaurants & services",Double or tandem attached 2-car garage,Yes,
Primrose on Queen Elizabeth Park - Cambie Corridor,33rd & Cambie,,,Transca,,,,,,,,,,,
Profile Oak Street by Bold,Oak Street & 67th Avenue.,,Condo,Bold Properties,47,,6,LEED Gold certified benefits for additional comfort,A short walk to top schools including Sir Winston Churchill Secondary and David Lloyd George Elementary,,,"15-minute walk to Marine-Gateway Skytrain, and 5-minute drive to Oakridge Shopping Centre",,,
Promontory in Uptown Kelowna,665 Boynton Place,,Townhome,eVest Funds,120,,,"Overlooking Kelowna Golf & Country Club, Dilworth Bluff and central Kelowna",,,Across the street from Knox Mountain Park (greenbelt / hiking / biking),"Close proximity to Big White ski resort；Southeast slope of Knox Mountain, 5 minutes to Downtown core, shops, waterfront",,,
Provenance Townhomes | Maple Ridge,Lougheed Highway & Haney Bypass,"Starting from $529,900",Townhouse,Polygon Homes,252,Woodframe,,,"3-4 BED, ranging from 1354 - 1587 sf",Nature,"New 1-acre public park, Kanaka Creek Regional Park","Shops, restaurants & services of downtown Maple Ridge",Side-by-side garages,Yes,
Proximity - New Vancouver Condo in Olympic Village,15 East 2nd Avenue,TBA,Condos,Bastion Development Corporation,,Concrete,19,Green rooftops and solar panels,,,,Steps to Olympic Village and Seawall,,,
Purcell Way in North Vancouver,1923-1929 Purcell Way,,Condo and Townhouse,Woodbridge Northwest Communities,184,Woodframe,6,A master-plan community by Woodbridge Northwest beside Capilano University,,,Lillooet Park,"Shops, dining, schools, hiking/biking trails and parks",303,,
Quarry House by Create | Vancouver Westside,Cambie & West 27th,,Condo + Townhouse,Create Properties,57,,6,,"1-3 BED condos + 2-storey, 2-BED townhomes",,Queen Elizabeth Park,"Shops, cafés, restaurants & services of Oakridge Centre, Cambie Village & Queen Elizabeth Park",1,1,
"Queen's Landing | Lonsdale, North Vancouver",115 West Queens Rd,"Starting from $1,488,875",Townhouse,Cascadia Green Development,14,,,,"2-3.5 bed homes, starting from 1,616 sf",,"Delbrook Park, William Griffin Park","Several schools, restaurants, shops & conveniences",1,1,
Quinn by Mortise in South Surrey,24th Ave & 164 Street,,Townhomes,Mortise,26,,,Rooftop decks,,,"Darts Hill Garden Park, Redwood Park",,,,
Red Maple Residences in North Vancouver,"236 3rd Street East, North Vancouver, BC",,Condo/Townhomes,InnoVision Development Corp,57,Concrete,6,,,,,,,,
Regan West by Marcon,Burquitlam Skytrain Station,,Condos,Marcon,75,,6,Steps from the Burquitlam Skytrain Station,,,Burquitlam Park,"Shops, dining, schools, and parks",,,
Reside by Marcon at Cambie Village,460 West 63rd Ave,,,Marcon,33,Concrete,4,Close to skytrain,,,Winona Park,"Langara Golf Course, shopping, dining, schools",66,,
"Reunion In Murrayville, Langley",48 Ave & Old Yale Rd,,Townhouse + Condo,Lanstone Homes,54,Woodframe,,Heritage plaza w/ signage explaining history,"2, 3 & 4 BED homes, ranging from 1,329 – 2,975 sf",,Denny Ross Memorial Park,"Steps away from parks, recreation, schools and shopping",two-car garage for townhomes + underground parking stalls for condos + some surface parking,,
Rhodo Townhomes By Aryze In Victoria,Fairfield Rd & Beechwood Ave,,Townhomes,Aryze,20,Woodframe,3 x 2.5-storey,,"1-4 BED, ranging from 450 - 2,330 sf",,Hollywood Park,Hollywood Park playing fields & tennis courts; Fairfield Village Centre shops & services; Ross Bay Preschool & Margaret Jenkins Elementary School; Gonzales Bay beach & activities; Cook Street Village commercial district; short commute to Downtown Victoria,1 level of underground,Underground storage space,
River District Vancouver - Much Buzz Surrounds South Vancouver's latest Development,8683 Kerr Street,,"1-,2-, and 3-bedroom suites",Wesgroup,,Concrete,"19 storey tower, a mid-rise residential building, and a podium building with townhomes and retail space",LEED Gold Design,,,,,,,
River District on South Vancouver - Avalon 3,8683 Kerr Street,,"one, two, and three bedroom homes",Wesgroup,,,25-storey highrise and 6-storey midrise,rooftop pool and hot hub,,,,"Save-On-Foods, Starbucks, TD Canada Trust and more are coming soon.",,,
River Park Place - Phase 2 coming to Richmond,River Road,,Condo,Intercorp,,,,,,,,,,,
Riverstone Place in Downtown Nanaimo,20 Barsby Ave,,Condo,Platinum Properties Group,90,,6,20-minute flight from downtown Vancouver,90-minute drive to Victoria,,Barsby Park,10 minutes from restaurants & shops of the Old City Quarter,86 vehicle parking spaces with electric car charging,,
Rodgers Creek Homes,Cypress Bowl Ln & Cypress Bowl Rd,,Single Family Home,Showmark Development Group,21,,,,,Stunning panoramic views of the Pacific Ocean and city skyline,Chelsea Close Park,"Mulgrave School, Hollyburn Country Club & Cypress Mountain Resort, Park Royal shopping",,,
Rotunda By Aryze In Victoria,Parry St & Michigan St,,Condo & Townhouse,Aryze,12,,,,"Studio, 1- & 2-bedroom homes, ranging from 391 - 1,504 sf",,"Beacon Hill Park, Holland Point Park","Steps to museums, restaurants, shops, schools & parks; Close to seawall & oceanfront parks; Short commute to downtown Victoria amenities",,,
SEAandSKY in Squamish,1500 BC-99,,Condo & Townhouse,BlueSky Properties and Kingswood Capital Corporation,986,,,5-acre waterfront park,"2,000-sq-ft daycare",,,"Shops and cafes, a wide waterfront promenade, an amenity centre",,,
SOCO by Anthem Properties,North Road & Delestre Avenue,,Condos & townhomes,Anthem Properties,"1,386",,,"73,000 sf of shopping, dining and office space.","5 residential towers and a mid-rise rental building – total of 1,386 residences",,Keswick Park,The Vancouver Golf Club; Lougheed Town Centre Mall,8 levels of parking,,
SOMA By SDAE On Cambie,505 West 62nd Avenue,,Condos,SDAE Development,32,Concrete,6,Concrete structure with high-end brick veneer,"1 - 3 bedroom condos, ranging from 465 - 963 sf",,Winona Park,"Steve Nash Fitness World, Cineplex Cinemas, Shoppers Drug Mart, T&T, Starbucks, several restaurants & much more",31 underground parking spaces & 40 bicycle parking spaces,,
Salisbury South - Port Coquitlam Townhomes,"2145 Prairie Avenue, Port Coquitlam",TBD,townhomes,MacLean Homes,,Wood,3,,,,,,,,
Saville Row - Distinct Townhomes and Flats in Burnaby,5151 Canada way- Burnaby,"Starting at $300,000, $550,000 for Townhomes with Garages","Studios, condos and Townhomes",Woodbridge Northwest Communities Ltd.,161,Wood,4,,,,"Deer Lake, Burnaby Lake","Shopping, Transport, Golf",,,
Scott & Nicholson,6950 Nicholson Rd,,Condo & Townhouse,Realco,182 condominiums + 6 townhomes,,2 x 6-storey residential buildings,,,,,Walking distance to Scottsdale Centre shopping; Close to Cineplex Cinemas,248 resident and 27 visitor vehicle stalls,,
Seaside by Mosaic in Tsawwassen,1391 Tsawwassen Drive South,,Townhouse,Mosaic,,,,Ten-foot-high ceilings,,,Boundary Bay Regional Park,"Boundary Bay Elementary, Connaught Place Indian Restaurant, Tsawwassen Springs Golf & Country Club, Tsawwassen Mills and more",,,
Seasons - Brentwood Burnaby,5415 Lougheed Highway,TBD,"32 1 bed + Dens, 56 Two Beds Condos and 13 two bedroom Townhomes",Ledingham McAllister,101,Wood,4,"outdoor garden, lounge",,,,,123,,
Semiah by Marcon-Ocean View in White Rock,15241 Thrift Ave,TBD,Condos,Marcon Developments,88,Concrete,14,Stunning Semiahmoo Bay views,,,Close to White Rock Pier,Near Semiahmoo Shopping Centre,There are 160 underground parking spaces.,,
Seylynn Village - Beacon,1550 Fern Street,,"1's, 1 plus Dens, 2's 3's",DEANNA,201,Concrete,24,=triple-glazed windows and 3 elevators,,Yes,"Bridgemann (dog park), Seylynn, inter-river","Shopping, Skiing, Golf, Mountain Biking",,Yes,
Seylynn Village - Compass,1550 Fern Street,,Condos/Townhomes,Denna Homes,,Concrete,28,"Denna Club Lounge, fitness centre",,"expansive views of the mountains, downtown and water",Bridgeman,,,,
Seymour Estates by Anthem | North Vancouver,Mt Seymour Pkwy & Lytton St,,Condo + Townhouse,Anthem Properties,341,,,A # of measures to improve traffic flow in & around the property,"2,3 & 4 bedroom homes with the option of condos or townhomes",,"McCartney Creek Park, Windsor Park, Hogans Pools Park","Windsor Secondary, Ron Andrews Community Recreation Centre, Parkgate Village Shopping Mall, Mt. Seymour skiing/trails, Capilano University",573 parking spaces,,
Seymour Village Hilltop In North Vancouver,3597 Malsum Drive,"Starting from $969,900",Townhomes,Takaya Developments & Aquilini Development,35,,3,,"3- & 4-bedroom townhomes, ranging from 1,885 - 2,060 sf",,"Roche Point Park, Seymour Village Park","Restaurants, entertainment, schools, pharmacies, golf club, parkgate village",Side-by-side double garages w/ EV charging,Yes,
Shannon Wall Centre at West 57th Ave & Granville,7201 Granville Street,,Condos and Townhouses,Wall Financial Group,55,LEED Gold Standard construction,,Lavish common areas in restored historic mansion,,,,,,,
Shaughnessy Residences from Alabaster Homes,8123 Shaughnessy Street,,3 and 4-bedroom townhomes,Alabaster Homes,15,,,,,,Oak Park,,,,
Shift by Aragon on Vancouver's Westside,5089 Quebec Street at East 35th Avenue Vancouver,,Condo,Aragon Properties Ltd.,43,Wood,6,,,,Queen Elizabeth Park,"Shopping Mall,restaurants, entertainment, schools, pharmacies, hospital, public transportation",,,
Shine - Vancouver's South Main Area Presents A Boutique Pre-sale Condo,275 E 6th Avenue,"$268,000+","1, 2, & 3-bedroom units",Imani Development,90 boutique condominiums,,Six storey plus a penthouse,,,Mountain & skyline views,,,Parking with every unit,,
Simon 2 in Burquitlam by Otivo,717 Breslay Street,,"1, 2, & 3 Bedrooms",Otivo Development Group,82,"Wood-frame, low-rise",6,,,,Burquitlam Park,"Grocery Stores, Dining, Trails, Schools",,,
Skagen Townhomes | West Coquitlam,"Foster Ave, b/w Aspen St & Fairview St",,Townhouse,Eighth Avenue Development Group,52,Woodframe,3,,"3-4 BED, ranging from 1,450-1,774 sf",,"Burquitlam Park, Cottonwood Park, Mountain View Park","Close to schools, restaurants & services",1 level underground parking,1,
Skala Vancouver - Mount Pleasant Townhomes Inspired by Danish Design,447 East 16th Avenue,"$269,800 - $724,900+",,Mondevo,20 sophisticated urban townhomes in vibrant Mount Pleasant,,,"clean, modern style inspired by Danish design, generous windows for ample year-round natural light, spacious open concept floor plan, modern Whirlpool stainless steel appliances",,,,mere steps to the rapidly evolving Main Street,,,
Sole Rutland | Kelowna,Bach Rd & Rutland Rd North,,Condo,Sole Squared Developments & Edgecombe Builders,68,,5,,,"Mountains, downtown Kelowna","Sumac Park, Briarwood Park, Rutland Centennial Park","Shops, restaurants and services of downtown Kelowna; UBCO Campus; Orchard Park Mall; Rutland Sports Field; Okanagan Gymnastics Centre",,,
Soleil White Rock,Johnston Rd & North Bluff Rd,,Condo,RDG Management Ltd,178,Concrete,26,White-Rock's tallest tower,,,"Bryant Park, Hodgson Park","Direct access to 300 shops, services and restaurants at your doorstep",391,,
Sophia Living In Port Moody,Clarke St & Elgin St,,Townhouse,Paulsun Development,30,,,Built Green Gold Certified,"2-3 bedroom homes, ranging from 1,030 - 1, 431 sf",Nature & Waterfront,Rocky Point Park,"Water sports, parks, trails & hikes available at your doorstep; steps from schools, shops, restaurants, breweries, cafés & conveniences of downtown Port Moody",,,
Sparrow Oaklands In Victoria By Abstract,Oaklands,High $200's,Condo,Abstract Developments,49,Woodframe,6,,1 & 2 bedroom homes,,"Hillside Park, Summit Park, Topaz Park","Close to schools, coffee shops, grocers, restaurants & shopping; Minutes from Cedar Hill Park & Golf Course; Short commute to downtown Victoria",,,
Sparrow in the Heart of Chinatown,Chinatown,,Condos,Fifth Avenue,25,,,"Chinatown is a bustling hub of restaurants, bars, cafes, and markets; local businesses and historic sites.",,,"Andy Livingstone Park, Dr. Sun Yat-Sen Classical Chinese Garden","restaurants, bars, cafes, markets and more",,,
Spires Gate in Richmond,8888 Spires Gate,,Townhouse,Alabaster Homes,63,,,,"2-,3- and 4-bedrooms, ranging from 623 – 1,729 sf",,Minoru Park,"A short walk from premier retail, top restaurants, and convenient amenities along No. 3 Road; 3 blocks from Richmond Centre shopping & services","Secured, well-lit parkade w/ fob key access + direct access parking for select homes",,
St. Paul in downtown Kelowna,St. Paul & Clement,,Condo,Innocept Real Estate Outsourcing,54,Woodframe,6,,"studio, 1- & 2-bedroom suites + private deck",City & mountain views,"Waterfront Park, Recreation Avenue Park","Walkable downtown location close to dining, shopping and conveniences",Yes,Yes,
Stanton House - Burquitlam - Polygon,"607 Cottonwood Avenue, Coquitlam",,condos,Polygon,132,wood,5,5000 sq.ft courtyard,,,Cottonwood park,"shopping, entertainment, skytrain",,,
Station Square - Phase III,"6080 McKay Ave, Burnaby",,condos,Beedie Developments & Anthem Properties,334,concrete,41,,,yes,Central Park,"shopping, entertainment, nature, skytrain",612,,
Sterling by Cressey - Kerrisdale Living at its Finest,West Boulevard and 49th Ave,,"All large, 2 bedroom + den condo units",Cressey,37,Concrete Construction,,Air Conditioning; the famous Cressey Kitchen in all units; and over-height ceilings,,,,,,,
Storia in Burnaby,4354 Hastings Street,"Starting from $624,900",Condo,Beedie Living,39,,5,,"1-3 bedroom homes, ranging from 691 - 1,390 sf",City and mountain views,"Confederation Park, Willingdon Heights Park","Several services, shops & restaurants right outside your doorstep; Brentwood Town Centre; SFU Campus",1,,
Strathcona Village by Wall Financial,900 East Hastings Street,"$199,000+",,Wall Financial,"283 condos in building with unique harbour-container design, two deluxe colour schemes",,,expansive floor-to-ceiling windows for generous natural light,,"striking water, city and mountain views",,,,,
Sun Towers 2 by Belford in the Heart of Metrotown,6380 Silver Avenue,,Condos,Belford Properties,,Concrete,27,"First access to a world-class, true Montessori daycare",1-3 bedroom,,Central Park,"Metrotown Mall, Metrotown Skytrain Station, Restaurants, Coffee Shops, Shops and Services, Burnaby Public Library and more",,,
Sun Towers by Belford Properties,"6380 Silver Avenue, Burnaby",,"1, 2 and 3 bedrooms",Belford Properties,285,concrete,41,concierge,,yes,Central Park,"shopping, dining, transit",,,
Sussex by Townline Group of Companies,"6050 Sussex Ave, Burnaby",tbd,"1, 2 and 3 bedrooms",Townline,321,Concrete,41,quiet street,,yes,Central Park,"shopping, dining, transit",,,
Sutherland Townhomes - 12 Heritage Inspired Townhomes in Port Moody,"2824 – 2830 St George St, Port Moody",TBD,Townhomes,Trillium Projects,12,Wood,3,private 2 car garages,,,,,2,,
